Year,Country,Product ID,Category,Sub-Category,Product Name,Segment,Sales,Profit
2020,Angola,OFF-AP-3572,Office Supplies,Appliances,"Breville Microwave, Silver",Consumer,161310,20150
2020,Greece,TEC-CO-4767,Technology,Copiers,"HP Copy Machine, Laser",Consumer,323790,5830
2020,Czech Republic,FUR-BO-3637,Furniture,Bookcases,"Bush Floating Shelf Set, Traditional",Consumer,137020,4540
2020,Trinidad and Tobago,OFF-PA-4001,Office Supplies,Paper,"Eaton Message Books, Recycled",Corporate,102450,14250
2020,Norway,OFF-AR-3537,Office Supplies,Art,"Boston Markers, Blue",Consumer,87900,22800
2020,Uruguay,OFF-PA-4147,Office Supplies,Paper,"Enermax Computer Printout Paper, 8.5 x 11",Consumer,65220,16920
2020,Armenia,OFF-FA-5482,Office Supplies,Fasteners,"OIC Staples, Bulk Pack",Consumer,30240,4800
2020,Mali,OFF-PA-4170,Office Supplies,Paper,"Enermax Message Books, Recycled",Consumer,29880,13440
2020,Albania,OFF-AR-5926,Office Supplies,Art,"Sanford Pens, Fluorescent",Consumer,13180,-1020
2020,Central African Republic,OFF-LA-4538,Office Supplies,Labels,"Harbour Creations Legal Exhibit Labels, Adjustable",Corporate,17700,8100
2020,Haiti,OFF-BI-4823,Office Supplies,Binders,"Ibico Hole Reinforcements, Clear",Consumer,8600,3600
2020,Bolivia,FUR-FU-5733,Furniture,Furnishings,"Rubbermaid Light Bulb, Durable",Consumer,10580,2220
2020,Costa Rica,TEC-CO-4583,Technology,Copiers,Hewlett Packard 310 Color Digital Copier,Corporate,959970,120000
2020,Togo,TEC-PH-5841,Technology,Phones,"Samsung Smart Phone, VoIP",Consumer,2120800,275700
2020,Djibouti,OFF-ST-6281,Office Supplies,Storage,"Tenex Trays, Blue",Consumer,108420,9720
2020,Turkmenistan,TEC-CO-3704,Technology,Copiers,"Canon Personal Copier, Digital",Consumer,189460,31860
2020,Madagascar,OFF-LA-4640,Office Supplies,Labels,"Hon Color Coded Labels, Laser Printer Compatible",Consumer,25620,12780
2020,Uzbekistan,OFF-ST-5695,Office Supplies,Storage,"Rogers Folders, Industrial",Corporate,84160,-6560
2020,Eritrea,TEC-AC-5149,Technology,Accessories,Logitech MX Performance Wireless Mouse,Corporate,191470,40690
2020,Papua New Guinea,TEC-PH-5095,Technology,Phones,"Logitech B530 USB Headset - headset - Full size, Binaural",Corporate,59180,5180
2020,Guinea,OFF-AR-5316,Office Supplies,Art,Newell 337,Corporate,5250,590
2020,Macedonia,OFF-SU-4127,Office Supplies,Supplies,"Elite Scissors, Easy Grip",Consumer,64000,-35150
2020,Bosnia and Herzegovina,FUR-CH-5409,Furniture,Chairs,"Novimex Steel Folding Chair, Set of Two",Consumer,101380,-27080
2020,Ethiopia,OFF-EN-4447,Office Supplies,Envelopes,"GlobeWeis Manila Envelope, Recycled",Consumer,31430,-19390
2020,Jamaica,FUR-BO-5760,Furniture,Bookcases,"Safco Classic Bookcase, Metal",Consumer,2756940,1163880
2020,Belarus,OFF-SU-4317,Office Supplies,Supplies,"Fiskars Scissors, Serrated",Consumer,39720,17820
2020,Mauritania,FUR-TA-4691,Furniture,Tables,"Hon Round Table, Rectangular",Corporate,1232350,107800
2020,Nepal,FUR-BO-5798,Furniture,Bookcases,"Safco Stackable Bookrack, Pine",Corporate,757500,151500
2020,Sri Lanka,FUR-CH-4631,Furniture,Chairs,"Hon Chairmat, Black",Corporate,265500,45000
2020,Paraguay,OFF-AR-5904,Office Supplies,Art,"Sanford Canvas, Fluorescent",Home Office,207120,76560
2020,Benin,TEC-MA-6133,Technology,Machines,"StarTech Calculator, Red",Home Office,98960,13840
2020,Niger,OFF-AR-3534,Office Supplies,Art,"Boston Highlighters, Water Color",Consumer,44100,11880
2020,Yemen,OFF-AR-6114,Office Supplies,Art,"Stanley Markers, Blue",Consumer,44400,8880
2020,Guyana,FUR-CH-5371,Furniture,Chairs,"Novimex Chairmat, Black",Consumer,21560,-20500
2020,Taiwan,OFF-ST-4080,Office Supplies,Storage,"Eldon Lockers, Single Width",Consumer,1603310,142340
2020,Bahrain,OFF-SU-4131,Office Supplies,Supplies,"Elite Shears, Easy Grip",Consumer,136160,-59140
2020,Oman,OFF-SU-6166,Office Supplies,Supplies,"Stiletto Letter Opener, High Speed",Consumer,22220,-11140
2020,Qatar,FUR-FU-4228,Furniture,Furnishings,"Executive Impressions 13"" Clairmont Wall Clock",Consumer,23080,-10960
2020,United Arab Emirates,OFF-PA-6575,Office Supplies,Paper,Xerox 212,Consumer,25920,9070
2020,Martinique,OFF-ST-5709,Office Supplies,Storage,"Rogers Trays, Blue",Consumer,246720,73920
2020,Equatorial Guinea,OFF-AR-3449,Office Supplies,Art,"BIC Canvas, Fluorescent",Consumer,164880,57690
2020,Guinea-Bissau,OFF-AR-5552,Office Supplies,Art,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,Home Office,34580,10030
2020,Western Sahara,OFF-BI-4830,Office Supplies,Binders,"Ibico Index Tab, Economy",Home Office,20820,7020
2020,Slovenia,OFF-BI-3738,Office Supplies,Binders,"Cardinal Index Tab, Durable",Consumer,7620,3420
2020,Namibia,FUR-TA-5059,Furniture,Tables,"Lesro Conference Table, Rectangular",Consumer,2993030,726830
2020,Lesotho,TEC-CO-4575,Technology,Copiers,"Hewlett Fax Machine, Color",Consumer,1156900,-38660
{"threads":[{"position":7510,"start":0,"end":7509,"connection":"closed"},{"position":7510,"start":7510,"end":15017,"connection":"open"}],"url":"https://att-c.udemycdn.com/2022-03-14_17-55-23-7b4e80640d0d17c2d34ddb765cdda705/original.csv?response-content-disposition=attachment%3B+filename%3D2020_data.csv&Expires=1647531713&Signature=CRPSgRukWDRGFgCtTcsq59WnFbfrnMksgkealUimf9ZnBqodbJCQqo-oHTk9ifhiPLJSXOPyeTDaFByUgAimFY8RJhhxSh8OJzfT5xCd05LpruQlcaWZIuwv9XvN7ymXMrO0PCkaQVOn9~wwL9Z4BsAy98Z4cz1q2AfKSsfDxDTLAwkf9~KRnd5ssNOr1xgh9s1fdij8tNnRZrmPqnlqHBMsSM2v33nP0U43Llj5r1kyRd6jTdx3a9J9npKbEIS0lP2PdvrITPg7HAiY4jwZ4TQdZIUwv277v0Rk7lzx6~vpUhiH3uGkIQXbK~VTTVzzp6ZI-jz66gNcda6ju2uqkg__&Key-Pair-Id=APKAITJV77WS5ZT7262A","method":"GET","port":443,"downloadSize":15017,"headers":{"content-type":"application/vnd.ms-excel","content-length":"15017","connection":"close","date":"Thu, 17 Mar 2022 11:12:31 GMT","last-modified":"Mon, 14 Mar 2022 17:55:24 GMT","etag":"\"14d434eae432e74e7a48f033cc54e48f\"","x-amz-server-side-encryption":"AES256","x-amz-meta-qqfilename":"2020_data.csv","x-amz-version-id":"nc_vwLMkBltdHNHgZtLE1g01.tTJ2HWY","content-disposition":"attachment; filename=2020_data.csv","accept-ranges":"bytes","server":"AmazonS3","x-cache":"Miss from cloudfront","via":"1.1 630336d6cdf08cf266841fd503dc03d0.cloudfront.net (CloudFront)","x-amz-cf-pop":"AMS54-C1","x-amz-cf-id":"WSSGcpumVwV7FgW2J3hokolY5nEG72CfVKostWwC54qmu-_1Z3IlwQ=="}}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
